iter	Passed	Remaining
0	318	317781
1	372	185664
2	396	131898
3	420	104760
4	443	88311
5	467	77480
6	492	69826
7	516	64011
8	539	59417
9	563	55822
10	586	52756
11	610	50281
12	633	48113
13	658	46400
14	682	44826
15	705	43381
16	729	42162
17	755	41196
18	780	40275
19	803	39355
20	831	38757
21	856	38058
22	883	37548
23	913	37161
24	943	36805
25	978	36644
26	1008	36339
27	1037	36002
28	1063	35604
29	1093	35343
30	1121	35057
31	1149	34769
32	1178	34534
33	1206	34290
34	1231	33954
35	1260	33741
36	1289	33561
37	1316	33334
38	1346	33174
39	1375	33022
40	1401	32775
41	1426	32545
42	1450	32279
43	1474	32038
44	1499	31813
45	1521	31552
46	1545	31335
47	1577	31291
48	1608	31225
49	1638	31129
50	1671	31103
51	1701	31024
52	1734	30983
53	1758	30811
54	1783	30647
55	1808	30479
56	1832	30311
57	1855	30130
58	1878	29959
59	1900	29776
60	1934	29776
61	1965	29742
62	1994	29669
63	2024	29613
64	2051	29508
65	2082	29475
66	2110	29387
67	2140	29338
68	2167	29242
69	2196	29177
70	2219	29044
71	2244	28933
72	2268	28808
73	2295	28718
74	2320	28616
75	2343	28486
76	2365	28360
77	2389	28242
78	2409	28089
79	2430	27954
80	2449	27795
81	2472	27684
82	2496	27577
83	2515	27436
84	2541	27363
85	2565	27260
86	2587	27153
87	2610	27050
88	2631	26931
89	2655	26851
90	2677	26743
91	2699	26644
92	2721	26538
93	2746	26474
94	2767	26363
95	2787	26250
96	2810	26163
97	2831	26062
98	2853	25969
99	2876	25888
100	2897	25792
101	2918	25697
102	2941	25619
103	2964	25537
104	2985	25446
105	3006	25360
106	3029	25287
107	3050	25191
108	3071	25108
109	3093	25026
110	3115	24951
111	3138	24885
112	3162	24821
113	3184	24748
114	3203	24656
115	3223	24569
116	3246	24499
117	3267	24421
118	3289	24351
119	3309	24272
120	3332	24208
121	3352	24130
122	3376	24074
123	3397	23999
124	3417	23922
125	3439	23858
126	3463	23806
127	3485	23744
128	3507	23682
129	3528	23615
