iter	Passed	Remaining
0	52	26172
1	103	25757
2	155	25800
3	204	25404
4	257	25472
5	308	25408
6	358	25256
7	405	24934
8	451	24630
9	494	24254
10	542	24095
11	587	23886
12	633	23719
13	679	23586
14	724	23412
15	774	23430
16	819	23274
17	865	23178
18	909	23013
19	954	22910
20	1000	22826
21	1043	22675
22	1092	22665
23	1140	22611
24	1192	22649
25	1235	22528
26	1283	22489
27	1328	22386
28	1373	22313
29	1418	22220
30	1465	22172
31	1515	22158
32	1566	22169
33	1618	22182
34	1665	22125
35	1711	22057
36	1756	21979
37	1803	21925
38	1850	21872
39	1896	21810
40	1945	21778
41	1991	21713
42	2036	21647
43	2082	21580
44	2131	21553
45	2176	21476
46	2220	21399
47	2265	21333
48	2310	21262
49	2357	21220
50	2402	21155
51	2448	21093
52	2494	21036
53	2539	20972
54	2589	20950
55	2635	20893
56	2681	20836
57	2726	20779
58	2777	20759
59	2828	20740
60	2881	20736
61	2932	20717
62	2985	20712
63	3033	20665
64	3085	20647
65	3140	20649
66	3191	20625
67	3243	20603
68	3296	20588
69	3346	20554
70	3396	20522
71	3446	20484
72	3496	20451
73	3545	20410
74	3594	20366
75	3646	20345
76	3697	20311
77	3747	20275
78	3794	20218
79	3845	20186
80	3891	20130
81	3942	20097
82	3991	20054
83	4044	20029
84	4095	19997
85	4146	19959
86	4193	19908
87	4253	19913
88	4302	19869
89	4349	19815
90	4398	19767
91	4443	19705
92	4494	19670
93	4543	19623
94	4593	19581
95	4640	19530
96	4691	19491
97	4737	19434
98	4788	19396
99	4836	19345
100	4885	19301
101	4934	19255
102	4982	19204
103	5030	19155
104	5079	19109
105	5128	19063
106	5176	19013
107	5223	18961
108	5274	18920
109	5324	18876
110	5369	18817
111	5417	18766
112	5463	18712
113	5531	18729
114	5583	18692
115	5639	18667
116	5695	18643
117	5748	18609
118	5799	18566
119	5854	18539
120	5901	18483
121	5950	18437
122	5994	18373
123	6042	18321
124	6091	18273
125	6140	18226
126	6184	18163
127	6227	18097
128	6276	18050
129	6322	17994
130	6370	17943
131	6423	17907
132	6471	17857
133	6519	17806
134	6566	17753
135	6619	17715
136	6668	17669
137	6715	17616
138	6759	17556
139	6807	17505
140	6852	17445
141	6902	17400
142	6943	17334
143	6983	17264
144	7027	17204
145	7067	17136
146	7111	17078
147	7149	17003
148	7188	16932
149	7230	16870
150	7271	16806
151	7316	16751
152	7355	16682
153	7394	16613
154	7438	16556
155	7475	16484
156	7513	16414
157	7556	16356
158	7598	16295
159	7641	16237
160	7681	16174
161	7724	16117
162	7769	16062
163	7808	15997
164	7851	15941
165	7893	15882
166	7935	15823
167	7975	15762
168	8018	15703
169	8059	15645
170	8105	15595
171	8146	15534
172	8186	15473
173	8224	15409
174	8268	15356
175	8313	15304
176	8356	15249
177	8397	15190
178	8436	15128
179	8473	15063
180	8517	15011
181	8556	14949
182	8597	14893
183	8639	14837
184	8677	14775
185	8720	14721
186	8761	14664
187	8802	14608
188	8840	14546
189	8879	14487
190	8926	14440
191	8968	14386
192	9005	14325
193	9049	14273
194	9093	14222
195	9134	14167
196	9176	14113
197	9215	14056
198	9260	14006
199	9302	13954
200	9346	13902
201	9383	13843
202	9425	13790
203	9467	13736
204	9505	13678
205	9548	13627
206	9590	13574
207	9632	13522
208	9676	13472
209	9715	13416
210	9758	13365
211	9796	13308
212	9837	13255
213	9876	13199
214	9917	13146
215	9960	13095
216	10000	13041
217	10040	12988
218	10083	12938
219	10130	12893
220	10169	12838
221	10213	12789
222	10253	12736
223	10295	12685
224	10334	12631
225	10375	12579
226	10415	12526
227	10452	12469
228	10492	12416
229	10530	12362
230	10573	12312
231	10612	12258
232	10650	12204
233	10688	12150
234	10735	12106
235	10775	12054
236	10818	12005
237	10858	11953
238	10900	11903
239	10940	11852
240	10979	11799
241	11020	11748
242	11060	11698
243	11103	11649
244	11143	11598
245	11183	11547
246	11225	11498
247	11268	11450
248	11308	11399
249	11350	11350
250	11389	11298
251	11430	11248
252	11467	11195
253	11505	11143
254	11547	11094
255	11588	11044
256	11630	10997
257	11667	10943
258	11707	10893
259	11753	10849
260	11792	10798
261	11832	10748
262	11871	10698
263	11913	10649
264	11952	10599
265	11989	10547
266	12029	10497
267	12071	10450
268	12113	10402
269	12155	10354
270	12192	10302
271	12231	10252
272	12272	10204
273	12313	10156
274	12351	10105
275	12392	10058
276	12435	10011
277	12475	9962
278	12512	9911
279	12556	9865
280	12597	9817
281	12638	9770
282	12680	9722
283	12718	9673
284	12759	9625
285	12802	9579
286	12841	9530
287	12877	9479
288	12919	9432
289	12957	9383
290	12998	9336
291	13038	9287
292	13079	9240
293	13124	9196
294	13163	9147
295	13202	9098
296	13242	9051
297	13286	9006
298	13332	8962
299	13371	8914
300	13412	8867
301	13453	8820
302	13494	8773
303	13534	8726
304	13576	8680
305	13616	8632
306	13655	8584
307	13692	8535
308	13733	8488
309	13773	8441
310	13815	8395
311	13855	8348
312	13897	8302
313	13936	8255
314	13978	8209
315	14016	8161
316	14058	8115
317	14100	8070
318	14139	8022
319	14180	7976
320	14216	7927
321	14261	7883
322	14301	7836
323	14339	7789
324	14383	7744
325	14421	7697
326	14462	7651
327	14505	7606
328	14546	7560
329	14587	7514
330	14624	7466
331	14665	7420
332	14712	7378
333	14750	7330
334	14792	7285
335	14829	7238
336	14865	7190
337	14906	7144
338	14948	7099
339	14986	7052
340	15028	7007
341	15068	6961
342	15111	6916
343	15148	6869
344	15187	6823
345	15226	6776
346	15266	6731
347	15305	6684
348	15345	6639
349	15384	6593
350	15423	6547
351	15462	6501
352	15500	6454
353	15542	6409
354	15580	6363
355	15619	6318
356	15659	6272
357	15697	6226
358	15734	6179
359	15774	6134
360	15815	6089
361	15857	6045
362	15895	5999
363	15936	5954
364	15975	5908
365	16014	5863
366	16056	5818
367	16097	5773
368	16132	5727
369	16173	5682
370	16216	5638
371	16254	5593
372	16294	5547
373	16333	5502
374	16375	5458
375	16416	5414
376	16453	5368
377	16492	5322
378	16529	5277
379	16570	5232
380	16615	5189
381	16650	5143
382	16694	5099
383	16733	5055
384	16772	5010
385	16811	4965
386	16850	4920
387	16891	4875
388	16926	4830
389	16966	4785
390	17008	4741
391	17052	4698
392	17087	4652
393	17126	4607
394	17168	4563
395	17205	4518
396	17243	4473
397	17280	4428
398	17316	4383
399	17352	4338
400	17391	4293
401	17434	4250
402	17474	4206
403	17515	4162
404	17555	4117
405	17593	4073
406	17632	4029
407	17670	3984
408	17712	3940
409	17751	3896
410	17791	3852
411	17825	3807
412	17869	3764
413	17906	3719
414	17946	3675
415	17982	3631
416	18021	3586
417	18064	3543
418	18104	3499
419	18139	3455
420	18178	3411
421	18216	3367
422	18264	3324
423	18301	3280
424	18340	3236
425	18380	3192
426	18418	3148
427	18454	3104
428	18493	3060
429	18533	3017
430	18570	2972
